track_name,track_artist,track_album_name,track_href,uri
Agar Tum Saath Ho,"Alka Yagnik, Arijit Singh",Tamasha,https://api.spotify.com/v1/tracks/3hkC9EHFZNQPXrtl8WPHnX,spotify:track:3hkC9EHFZNQPXrtl8WPHnX
Khairiyat,"Pritam, Arijit Singh",Chhichhore,https://api.spotify.com/v1/tracks/5O932cZmzOZGOGZz9RHx20,spotify:track:5O932cZmzOZGOGZz9RHx20
Ghostride,Crumb,Jinx,https://api.spotify.com/v1/tracks/0R3TWpoxAhT3HDXM7tpRzS,spotify:track:0R3TWpoxAhT3HDXM7tpRzS
Mammas Don't Let Your Babies Grow up to Be Cowboys,"Waylon Jennings, Willie Nelson",Waylon & Willie,https://api.spotify.com/v1/tracks/7nVQ8mo77KaUvhUQzh4vMy,spotify:track:7nVQ8mo77KaUvhUQzh4vMy
Open Arms (feat. Travis Scott),"SZA, Travis Scott",SOS,https://api.spotify.com/v1/tracks/6koKhrBBcExADvWuOgceNZ,spotify:track:6koKhrBBcExADvWuOgceNZ
Pink + White,Frank Ocean,Blonde,https://api.spotify.com/v1/tracks/3xKsf9qdS1CyvXSMEid6g8,spotify:track:3xKsf9qdS1CyvXSMEid6g8
Best Part (feat. H.E.R.),"Daniel Caesar, H.E.R.",Freudian,https://api.spotify.com/v1/tracks/1RMJOxR6GRPsBHL8qeC2ux,spotify:track:1RMJOxR6GRPsBHL8qeC2ux
If I Ain't Got You,Alicia Keys,The Diary Of Alicia Keys,https://api.spotify.com/v1/tracks/3XVBdLihbNbxUwZosxcGuJ,spotify:track:3XVBdLihbNbxUwZosxcGuJ
Poison,Brent Faiyaz,Poison,https://api.spotify.com/v1/tracks/5NijSs5dAwaIybq1GaRTIe,spotify:track:5NijSs5dAwaIybq1GaRTIe
Girl With The Tattoo Enter.lewd,Miguel,All I Want Is You,https://api.spotify.com/v1/tracks/1eUGmzzvahJjOSWgDHuRlv,spotify:track:1eUGmzzvahJjOSWgDHuRlv
Could've Been (feat. Bryson Tiller),"H.E.R., Bryson Tiller",I Used To Know Her,https://api.spotify.com/v1/tracks/6oEVnWKgPqIEPc53OYDNqG,spotify:track:6oEVnWKgPqIEPc53OYDNqG
Nobody Gets Me,SZA,SOS,https://api.spotify.com/v1/tracks/5Y35SjAfXjjG0sFQ3KOxmm,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm
Clouded,Brent Faiyaz,Fuck The World,https://api.spotify.com/v1/tracks/2J6OF7CkpdQGSfm1wdclqn,spotify:track:2J6OF7CkpdQGSfm1wdclqn
ALL MINE,Brent Faiyaz,WASTELAND,https://api.spotify.com/v1/tracks/3XgGQ1wjo5khvq2UImjyNF,spotify:track:3XgGQ1wjo5khvq2UImjyNF
Stay Ready (What A Life),"Jhené Aiko, Kendrick Lamar",Sail Out,https://api.spotify.com/v1/tracks/5nkUIVKqOqdpB6ApKgEMkv,spotify:track:5nkUIVKqOqdpB6ApKgEMkv
Been Away,Brent Faiyaz,Fuck The World,https://api.spotify.com/v1/tracks/5PvVkf1Yuq3XyMqqjPiKPd,spotify:track:5PvVkf1Yuq3XyMqqjPiKPd
The Weekend,SZA,Ctrl,https://api.spotify.com/v1/tracks/6gU9OKjOE7ghfEd55oRO57,spotify:track:6gU9OKjOE7ghfEd55oRO57
Rehab (Winter In Paris),Brent Faiyaz,Fuck The World,https://api.spotify.com/v1/tracks/0zWbYGQq5O1KQd0iqzgjP6,spotify:track:0zWbYGQq5O1KQd0iqzgjP6
Ain't Nobody (Loves Me Better) (feat. Jasmine Thompson),"Felix Jaehn, Jasmine Thompson",I,https://api.spotify.com/v1/tracks/3c8iiZGfEammKJuWTErE5x,spotify:track:3c8iiZGfEammKJuWTErE5x
You & Me - Flume Remix,"Disclosure, Eliza Doolittle, Flume",Settle (Special Edition),https://api.spotify.com/v1/tracks/3W2ZcrRsInZbjWylOi6KhZ,spotify:track:3W2ZcrRsInZbjWylOi6KhZ
Let Me Go,Daniel Caesar,NEVER ENOUGH,https://api.spotify.com/v1/tracks/3ym8ajVmKm6Fybgov3WBI5,spotify:track:3ym8ajVmKm6Fybgov3WBI5
Romantic Homicide,d4vd,Romantic Homicide,https://api.spotify.com/v1/tracks/1xK59OXxi2TAAAbmZK0kBL,spotify:track:1xK59OXxi2TAAAbmZK0kBL
Black Friday (pretty like the sun),"Lost Frequencies, Tom Odell",Black Friday (pretty like the sun),https://api.spotify.com/v1/tracks/4MSj19TwYBLgDFj3ddEeco,spotify:track:4MSj19TwYBLgDFj3ddEeco
Hope,XXXTENTACION,?,https://api.spotify.com/v1/tracks/2ZRo7axmMPeSVUvDbGkJah,spotify:track:2ZRo7axmMPeSVUvDbGkJah
You & Me - Rivo Remix,"Disclosure, Eliza Doolittle, Rivo",You & Me (Rivo Remix),https://api.spotify.com/v1/tracks/0xoYZ45fgTfyQYREZPN7Sa,spotify:track:0xoYZ45fgTfyQYREZPN7Sa
Strangers,Kenya Grace,Strangers,https://api.spotify.com/v1/tracks/5mjYQaktjmjcMKcUIcqz4s,spotify:track:5mjYQaktjmjcMKcUIcqz4s
LOVELY BASTARDS,"ZWE1HVNDXR, yatashigang",LOVELY BASTARDS,https://api.spotify.com/v1/tracks/0EqczV3o6fwksegAavIHpX,spotify:track:0EqczV3o6fwksegAavIHpX
MMS,"Asake, Wizkid",Lungu Boy,https://api.spotify.com/v1/tracks/13VXuHw3O8Yt7VwRIDqSo4,spotify:track:13VXuHw3O8Yt7VwRIDqSo4
alone - Remix,"FOLA, Bnxn",alone (Remix),https://api.spotify.com/v1/tracks/2GSK9VfsKWpVOV6ZzKiMA4,spotify:track:2GSK9VfsKWpVOV6ZzKiMA4
Dealer,"Ayo Maff, Fireboy DML",Dealer,https://api.spotify.com/v1/tracks/5Wxkvvb6pLky16pwq4gBI3,spotify:track:5Wxkvvb6pLky16pwq4gBI3
C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,Enter The Wu-Tang (36 Chambers) [Expanded Edition],https://api.spotify.com/v1/tracks/119c93MHjrDLJTApCVGpvx,spotify:track:119c93MHjrDLJTApCVGpvx
Sailor Song,Gigi Perez,Sailor Song,https://api.spotify.com/v1/tracks/2262bWmqomIaJXwCRHr13j,spotify:track:2262bWmqomIaJXwCRHr13j
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,spotify:track:3QaPy1KgI7nu9FJEQUgn6h
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy,spotify:track:51rfRCiUSvxXlCSCfIztBy
The Night We Met,Lord Huron,Strange Trails,https://api.spotify.com/v1/tracks/3hRV0jL3vUpRrcy398teAU,spotify:track:3hRV0jL3vUpRrcy398teAU
Night Changes,One Direction,FOUR (Deluxe),https://api.spotify.com/v1/tracks/5O2P9iiztwhomNh8xkR9lJ,spotify:track:5O2P9iiztwhomNh8xkR9lJ
HACIENDO QUE ME AMAS,Bad Bunny,EL ÚLTIMO TOUR DEL MUNDO,https://api.spotify.com/v1/tracks/26QApq0cuO9brJigr0C0W4,spotify:track:26QApq0cuO9brJigr0C0W4
