track_name,track_artist,track_album_name,track_href,uri
The Viper,BabyChiefDoit,The Viper,https://api.spotify.com/v1/tracks/2JapCT0xikq6Fy1PQiJz1C,spotify:track:2JapCT0xikq6Fy1PQiJz1C
The Largest,BigXthaPlug,The Largest,https://api.spotify.com/v1/tracks/1F5Qp0SJS0QUfqIoQggrLz,spotify:track:1F5Qp0SJS0QUfqIoQggrLz
BAND4BAND (feat. Lil Baby),"Central Cee, Lil Baby",BAND4BAND (feat. Lil Baby),https://api.spotify.com/v1/tracks/7iabz12vAuVQYyekFIWJxD,spotify:track:7iabz12vAuVQYyekFIWJxD
Dior,Pop Smoke,Meet The Woo,https://api.spotify.com/v1/tracks/79s5XnCN4TJKTVMSmOx8Ep,spotify:track:79s5XnCN4TJKTVMSmOx8Ep
All My Life (feat. J. Cole),"Lil Durk, J. Cole",All My Life (feat. J. Cole),https://api.spotify.com/v1/tracks/6HgWWaMu31KdOpEG5l28BG,spotify:track:6HgWWaMu31KdOpEG5l28BG
Invincible,Pop Smoke,Meet The Woo 2,https://api.spotify.com/v1/tracks/792HwhrdO3ErRKL5yRe4Ge,spotify:track:792HwhrdO3ErRKL5yRe4Ge
Mr. Glock,Key Glock,Yellow Tape,https://api.spotify.com/v1/tracks/1ipSpQfzBbhPFhYm6tfVIz,spotify:track:1ipSpQfzBbhPFhYm6tfVIz
Ambition For Cash,Key Glock,Yellow Tape 2,https://api.spotify.com/v1/tracks/4mIHgQ3ofK2RK34UdbqMbe,spotify:track:4mIHgQ3ofK2RK34UdbqMbe
M4,"Teto, Matuê",M4,https://api.spotify.com/v1/tracks/07AQkmp456NpEnT8HR7WLy,spotify:track:07AQkmp456NpEnT8HR7WLy
Tessera sanitaria (feat. Nerissima Serpe & Papa V),"Night Skinny, Nerissima Serpe, Papa V",Containers,https://api.spotify.com/v1/tracks/5JgTIfS7FfSE9tuebzX8HC,spotify:track:5JgTIfS7FfSE9tuebzX8HC
Hm Hm hm,Youka,VENIN,https://api.spotify.com/v1/tracks/1FEh2VLXCzHr4DhMLufrs5,spotify:track:1FEh2VLXCzHr4DhMLufrs5
Kese (Dance),Wizkid,Kese (Dance),https://api.spotify.com/v1/tracks/27durTCg4qj3qAbKsSVNX4,spotify:track:27durTCg4qj3qAbKsSVNX4
Awuke,"Davido, YG Marley",Awuke,https://api.spotify.com/v1/tracks/6e0YUaVAfDxUabmybOjguy,spotify:track:6e0YUaVAfDxUabmybOjguy
Favourite Girl (with Rema),"Darkoo, Rema",Favourite Girl (with Rema),https://api.spotify.com/v1/tracks/2irQkcW7o3v0tZoGZrtUsO,spotify:track:2irQkcW7o3v0tZoGZrtUsO
PUSH 2 START,Tyla,TYLA +,https://api.spotify.com/v1/tracks/1Cbl3Yq8rHo7hhDQmLQagU,spotify:track:1Cbl3Yq8rHo7hhDQmLQagU
Fi Kan We Kan,"Bnxn, Rema",Fi Kan We Kan,https://api.spotify.com/v1/tracks/771KDfpsOtJPQmocQpMdkR,spotify:track:771KDfpsOtJPQmocQpMdkR
Ferxxoko,"Joyce Santana, Feid",Ferxxoko,https://api.spotify.com/v1/tracks/12VjaTNEaCfDlvW1XPZTQ9,spotify:track:12VjaTNEaCfDlvW1XPZTQ9
DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",DEGENERE 👑 (feat. benny blanco),https://api.spotify.com/v1/tracks/4xISUrw0t2elabEhKrtAJ0,spotify:track:4xISUrw0t2elabEhKrtAJ0
SE ME OLVIDA,"Maisak, Feid",SE ME OLVIDA,https://api.spotify.com/v1/tracks/2gmd7lY3QSzLh0xIY4cRvi,spotify:track:2gmd7lY3QSzLh0xIY4cRvi
Hecha Pa' Mí,Grupo Frontera,Hecha Pa' Mí,https://api.spotify.com/v1/tracks/1uGUbgZuO1kD1JZ0UeFupN,spotify:track:1uGUbgZuO1kD1JZ0UeFupN
Ese Vato No Te Queda,"Carin Leon, Gabito Ballesteros",Ese Vato No Te Queda,https://api.spotify.com/v1/tracks/4Ndjd6DhKIC5IPoBIrMQuX,spotify:track:4Ndjd6DhKIC5IPoBIrMQuX
Cholo 7,"Fuerza Regida, Luis R Conriquez",Cholo 7,https://api.spotify.com/v1/tracks/06ONHS2cu9I7fvzTz3NQvq,spotify:track:06ONHS2cu9I7fvzTz3NQvq
AY MAMÁ,"Tito Double P, Grupo Frontera",INCÓMODO,https://api.spotify.com/v1/tracks/2lAUq68F2bt7Kc218n9FPp,spotify:track:2lAUq68F2bt7Kc218n9FPp
No Son Doritos,"Clave Especial, Luis R Conriquez",No Son Doritos,https://api.spotify.com/v1/tracks/2ss1LK5Kfnjo5EUaCbsgZM,spotify:track:2ss1LK5Kfnjo5EUaCbsgZM
Soltera - W Sound 01,"W Sound, Blessd, Ovy On The Drums",Soltera (W Sound 01),https://api.spotify.com/v1/tracks/13BDiikG6y5o5cQTK0HpW6,spotify:track:13BDiikG6y5o5cQTK0HpW6
NO PIERDO LA VIDA,"Calle 24, Chuyin",NO PIERDO LA VIDA,https://api.spotify.com/v1/tracks/44zZM2dn9AcOUt5XKUMNJ3,spotify:track:44zZM2dn9AcOUt5XKUMNJ3
Como Pacman,"Alemán, Gera MX",Como Pacman,https://api.spotify.com/v1/tracks/2TV1EuYnG5XqEyQSd1EB9X,spotify:track:2TV1EuYnG5XqEyQSd1EB9X
JACKPOT,"Belinda, Kenia OS",JACKPOT,https://api.spotify.com/v1/tracks/23W44WWCP8SibyP292TWo5,spotify:track:23W44WWCP8SibyP292TWo5
noviogangsta <3,Emilia,noviogangsta <3,https://api.spotify.com/v1/tracks/7yrTny7FLWLbfIzsxoicWj,spotify:track:7yrTny7FLWLbfIzsxoicWj
