track_name,track_artist,track_album_name,track_popularity,energy,valence,danceability,acousticness,instrumentalness,tempo,track_href,uri,cluster_label
Die With A Smile,"Lady Gaga, Bruno Mars",Die With A Smile,100,0.592,0.535,0.521,0.308,0.0,157.969,https://api.spotify.com/v1/tracks/2plbrEY59IikOBgBGLjaoe,spotify:track:2plbrEY59IikOBgBGLjaoe,Intense Hits
BIRDS OF A FEATHER,Billie Eilish,HIT ME HARD AND SOFT,97,0.507,0.438,0.747,0.2,0.0608,104.978,https://api.spotify.com/v1/tracks/6dOtVTDdiauQNBQEDOtlAB,spotify:track:6dOtVTDdiauQNBQEDOtlAB,Balanced / Versatile Mix
That’s So True,Gracie Abrams,The Secret of Us (Deluxe),93,0.808,0.372,0.554,0.214,0.0,108.548,https://api.spotify.com/v1/tracks/7ne4VBA60CxGM75vw0EYad,spotify:track:7ne4VBA60CxGM75vw0EYad,Intense Hits
Taste,Sabrina Carpenter,Short n' Sweet,81,0.91,0.786,0.67,0.0939,0.0,112.966,https://api.spotify.com/v1/tracks/1d7Ptw3qYcfpdLNL5REhtJ,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ,Feel-Good Hits
APT.,"ROSÉ, Bruno Mars",APT.,98,0.783,0.939,0.777,0.0283,0.0,149.027,https://api.spotify.com/v1/tracks/5vNRhkKd0yEAg8suGBpjeY,spotify:track:5vNRhkKd0yEAg8suGBpjeY,Feel-Good Hits
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",94,0.582,0.785,0.7,0.0502,0.0,116.712,https://api.spotify.com/v1/tracks/0WbMK4wrZ1wFSty9F7FCgu,spotify:track:0WbMK4wrZ1wFSty9F7FCgu,Feel-Good Hits
Diet Pepsi,Addison Rae,Diet Pepsi,88,0.561,0.841,0.669,0.495,0.00962,150.069,https://api.spotify.com/v1/tracks/6MzofobZt2dm0Kf1hTThFz,spotify:track:6MzofobZt2dm0Kf1hTThFz,Balanced / Versatile Mix
WILDFLOWER,Billie Eilish,HIT ME HARD AND SOFT,93,0.247,0.126,0.467,0.612,0.000271,148.101,https://api.spotify.com/v1/tracks/3QaPy1KgI7nu9FJEQUgn6h,spotify:track:3QaPy1KgI7nu9FJEQUgn6h,Chill & Acoustic
Sailor Song,Gigi Perez,Sailor Song,71,0.416,0.297,0.492,0.686,8.61e-05,94.926,https://api.spotify.com/v1/tracks/0UYnhUfnUj5adChuAXvLUB,spotify:track:0UYnhUfnUj5adChuAXvLUB,Chill & Acoustic
Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",Timeless,92,0.722,0.57,0.769,0.0584,2.56e-06,119.973,https://api.spotify.com/v1/tracks/1Es7AUAhQvapIcoh3qMKDL,spotify:track:1Es7AUAhQvapIcoh3qMKDL,Feel-Good Hits
Guess featuring billie eilish,"Charli xcx, Billie Eilish",Guess featuring Billie Eilish,85,0.667,0.618,0.776,0.0146,0.3,130.019,https://api.spotify.com/v1/tracks/3WOhcATHxK2SLNeP5W3v1v,spotify:track:3WOhcATHxK2SLNeP5W3v1v,Feel-Good Hits
Please Please Please,Sabrina Carpenter,Please Please Please,88,0.586,0.579,0.669,0.274,0.0,107.071,https://api.spotify.com/v1/tracks/5N3hjp1WNayUPZrA8kJmJP,spotify:track:5N3hjp1WNayUPZrA8kJmJP,Balanced / Versatile Mix
2 hands,Tate McRae,2 hands,79,0.806,0.587,0.608,0.121,0.0,104.032,https://api.spotify.com/v1/tracks/1f18HzFpegqvH4ibGJyeMJ,spotify:track:1f18HzFpegqvH4ibGJyeMJ,Feel-Good Hits
A Bar Song (Tipsy),Shaboozey,A Bar Song (Tipsy),86,0.709,0.604,0.722,0.0633,0.0,81.012,https://api.spotify.com/v1/tracks/2FQrifJ1N335Ljm3TjTVVf,spotify:track:2FQrifJ1N335Ljm3TjTVVf,Balanced / Versatile Mix
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,88,0.757,0.957,0.742,0.0187,0.0,139.982,https://api.spotify.com/v1/tracks/4xdBrk0nFZaP54vvZj0yx7,spotify:track:4xdBrk0nFZaP54vvZj0yx7,Feel-Good Hits
Disease,Lady Gaga,Disease,86,0.917,0.501,0.562,0.0513,0.0,100.987,https://api.spotify.com/v1/tracks/19KlZwqlT3fguP2BeHF1Q1,spotify:track:19KlZwqlT3fguP2BeHF1Q1,Intense Hits
Moonlit Floor (Kiss Me),LISA,Moonlit Floor (Kiss Me),82,0.787,0.672,0.734,0.126,0.0,109.939,https://api.spotify.com/v1/tracks/5G345YEhvleYxQLfYUlEFv,spotify:track:5G345YEhvleYxQLfYUlEFv,Feel-Good Hits
Love Somebody,Morgan Wallen,Love Somebody,86,0.843,0.746,0.619,0.00948,0.000118,122.064,https://api.spotify.com/v1/tracks/7hR22TOX3RorxJPcsz5Wbo,spotify:track:7hR22TOX3RorxJPcsz5Wbo,Feel-Good Hits
"I Love You, I'm Sorry",Gracie Abrams,The Secret of Us,90,0.406,0.338,0.53,0.656,0.0,115.94,https://api.spotify.com/v1/tracks/51rfRCiUSvxXlCSCfIztBy,spotify:track:51rfRCiUSvxXlCSCfIztBy,Chill & Acoustic
Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",Move,86,0.782,0.655,0.727,0.0563,0.336,119.992,https://api.spotify.com/v1/tracks/1BJJbSX6muJVF2AK7uH1x4,spotify:track:1BJJbSX6muJVF2AK7uH1x4,Feel-Good Hits
"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne",CHROMAKOPIA,88,0.812,0.664,0.505,0.285,0.0,80.09,https://api.spotify.com/v1/tracks/3tFed7YsjGnIfxeLEQwx3R,spotify:track:3tFed7YsjGnIfxeLEQwx3R,Balanced / Versatile Mix
Espresso,Sabrina Carpenter,Espresso,90,0.76,0.69,0.701,0.107,6.54e-05,103.969,https://api.spotify.com/v1/tracks/2qSkIjg1o9h3YT9RAgYN75,spotify:track:2qSkIjg1o9h3YT9RAgYN75,Feel-Good Hits
Mantra,JENNIE,Mantra,89,0.725,0.838,0.894,0.00434,1.15e-05,116.988,https://api.spotify.com/v1/tracks/2CspwnypzT7rcWI9RfsoSb,spotify:track:2CspwnypzT7rcWI9RfsoSb,Feel-Good Hits
Qué Pasaría...,"Rauw Alejandro, Bad Bunny",Cosa Nuestra,82,0.563,0.343,0.833,0.528,1.27e-05,105.008,https://api.spotify.com/v1/tracks/0l0vcZMU7AOeQmUIREoI2U,spotify:track:0l0vcZMU7AOeQmUIREoI2U,Balanced / Versatile Mix
NEW DROP,Don Toliver,HARDSTONE PSYCHO,85,0.628,0.321,0.757,0.189,0.0209,119.98,https://api.spotify.com/v1/tracks/2c7z5oRcPBbqRaBY2mLWcf,spotify:track:2c7z5oRcPBbqRaBY2mLWcf,Intense Hits
I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",I Had Some Help,84,0.855,0.731,0.638,0.00757,0.0,127.986,https://api.spotify.com/v1/tracks/7221xIgOnuakPdLqT0F3nP,spotify:track:7221xIgOnuakPdLqT0F3nP,Feel-Good Hits
Too Sweet,Hozier,Unheard,77,0.62,0.934,0.741,0.0295,0.000809,117.038,https://api.spotify.com/v1/tracks/4IadxL6BUymXlh8RCJJu7T,spotify:track:4IadxL6BUymXlh8RCJJu7T,Feel-Good Hits
No One Noticed,The Marías,Submarine,84,0.339,0.457,0.705,0.552,0.0814,97.989,https://api.spotify.com/v1/tracks/3siwsiaEoU4Kuuc9WKMUy5,spotify:track:3siwsiaEoU4Kuuc9WKMUy5,Chill & Acoustic
Tu Boda,"Oscar Maydon, Fuerza Regida",Tu Boda,93,0.651,0.471,0.694,0.496,1.36e-05,112.648,https://api.spotify.com/v1/tracks/1cOboCuWYI2osTOfolMRS6,spotify:track:1cOboCuWYI2osTOfolMRS6,Balanced / Versatile Mix
Stargazing,Myles Smith,Stargazing,88,0.601,0.332,0.635,0.246,0.0,123.994,https://api.spotify.com/v1/tracks/3Vr3zh0r7ALn8VLqCiRR10,spotify:track:3Vr3zh0r7ALn8VLqCiRR10,Intense Hits
WHATCHU KNO ABOUT ME (with Sexyy Red),"GloRilla, Sexyy Red",WHATCHU KNO ABOUT ME (with Sexyy Red),70,0.691,0.703,0.836,0.00586,0.0,167.029,https://api.spotify.com/v1/tracks/4VI2Y5xg4gYynQqNQNQbTN,spotify:track:4VI2Y5xg4gYynQqNQNQbTN,Feel-Good Hits
we can't be friends (wait for your love),Ariana Grande,eternal sunshine,81,0.646,0.295,0.645,0.0615,3.04e-05,115.842,https://api.spotify.com/v1/tracks/46kspZSY3aKmwQe7O77fCC,spotify:track:46kspZSY3aKmwQe7O77fCC,Intense Hits
Beautiful Things,Benson Boone,Beautiful Things,85,0.471,0.219,0.472,0.151,0.0,105.029,https://api.spotify.com/v1/tracks/6tNQ70jh4OwmPGpYy6R2o9,spotify:track:6tNQ70jh4OwmPGpYy6R2o9,Intense Hits
DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",LA PANTERA NEGRA (DELUXE),84,0.709,0.712,0.744,0.0501,0.0,194.055,https://api.spotify.com/v1/tracks/0qeIFEGRQqHoaJtLCl0U73,spotify:track:0qeIFEGRQqHoaJtLCl0U73,Feel-Good Hits
Touch,KATSEYE,Touch,85,0.904,0.788,0.739,0.549,1.03e-05,167.033,https://api.spotify.com/v1/tracks/6aJn7Cst74cj4lNIiPRgav,spotify:track:6aJn7Cst74cj4lNIiPRgav,Feel-Good Hits
Lose Control,Teddy Swims,I've Tried Everything But Therapy (Part 1),89,0.604,0.242,0.561,0.199,1.9e-05,159.92,https://api.spotify.com/v1/tracks/17phhZDn6oGtzMe56NuWvj,spotify:track:17phhZDn6oGtzMe56NuWvj,Intense Hits
Belong Together,Mark Ambor,Belong Together,82,0.668,0.64,0.646,0.491,0.0,90.969,https://api.spotify.com/v1/tracks/5uQ7de4EWjb3rkcFxyEOpu,spotify:track:5uQ7de4EWjb3rkcFxyEOpu,Balanced / Versatile Mix
Si Antes Te Hubiera Conocido,KAROL G,Si Antes Te Hubiera Conocido,93,0.668,0.787,0.924,0.446,0.000594,128.027,https://api.spotify.com/v1/tracks/6WatFBLVB0x077xWeoVc2k,spotify:track:6WatFBLVB0x077xWeoVc2k,Balanced / Versatile Mix
End of Beginning,Djo,DECIDE,89,0.454,0.912,0.689,0.0351,0.00259,159.982,https://api.spotify.com/v1/tracks/3qhlB30KknSejmIvZZLjOD,spotify:track:3qhlB30KknSejmIvZZLjOD,Feel-Good Hits
Fortnight (feat. Post Malone),"Taylor Swift, Post Malone",THE TORTURED POETS DEPARTMENT,84,0.386,0.281,0.504,0.502,1.53e-05,192.004,https://api.spotify.com/v1/tracks/2OzhQlSqBEmt7hmkYxfT6m,spotify:track:2OzhQlSqBEmt7hmkYxfT6m,Chill & Acoustic
Q U E V A S H A C E R H O Y ?,"Omar Courtz, De La Rose",PRIMERA MUSA,89,0.681,0.388,0.56,0.103,0.0,155.079,https://api.spotify.com/v1/tracks/0Sr7ssScx54yxdM2ols7nW,spotify:track:0Sr7ssScx54yxdM2ols7nW,Intense Hits
Not Like Us,Kendrick Lamar,Not Like Us,88,0.472,0.214,0.898,0.0107,0.0,101.061,https://api.spotify.com/v1/tracks/6AI3ezQ4o3HUoP6Dhudph3,spotify:track:6AI3ezQ4o3HUoP6Dhudph3,Balanced / Versatile Mix
Running Wild,Jin,Happy,85,0.711,0.317,0.487,0.000175,0.0,146.921,https://api.spotify.com/v1/tracks/4p7DTkyrKqT98xlIwYYfXz,spotify:track:4p7DTkyrKqT98xlIwYYfXz,Intense Hits
+57,"KAROL G, Feid, DFZM, Ovy On The Drums, J Balvin, Maluma, Ryan Castro, Blessd",+57,84,0.712,0.692,0.848,0.221,0.0,91.98,https://api.spotify.com/v1/tracks/3mg9jYNC1NihbthlglzrWP,spotify:track:3mg9jYNC1NihbthlglzrWP,Balanced / Versatile Mix
Embrace It,Ndotz,Embrace It,87,0.645,0.788,0.882,0.475,4.13e-05,114.933,https://api.spotify.com/v1/tracks/0io16MKpbeDIdYzmGpQaES,spotify:track:0io16MKpbeDIdYzmGpQaES,Balanced / Versatile Mix
The Emptiness Machine,Linkin Park,The Emptiness Machine,89,0.872,0.806,0.466,0.0156,0.0,184.115,https://api.spotify.com/v1/tracks/2PnlsTsOTLE5jnBnNe2K0A,spotify:track:2PnlsTsOTLE5jnBnNe2K0A,Feel-Good Hits
Who,Jimin,MUSE,92,0.756,0.838,0.66,0.00289,0.0,116.034,https://api.spotify.com/v1/tracks/7tI8dRuH2Yc6RuoTjxo4dU,spotify:track:7tI8dRuH2Yc6RuoTjxo4dU,Feel-Good Hits
Hotel California - 2013 Remaster,Eagles,Hotel California (2013 Remaster),81,0.508,0.609,0.579,0.00574,0.000494,147.125,https://api.spotify.com/v1/tracks/40riOy7x9W7GXjyGp4pjAv,spotify:track:40riOy7x9W7GXjyGp4pjAv,Feel-Good Hits
Thunderstruck,AC/DC,The Razors Edge,83,0.89,0.259,0.502,0.000147,0.0117,133.52,https://api.spotify.com/v1/tracks/57bgtoPSgt236HzfBOd8kj,spotify:track:57bgtoPSgt236HzfBOd8kj,Intense Hits
Seven Nation Army,The White Stripes,Elephant,82,0.446,0.278,0.743,0.0039,0.118,123.596,https://api.spotify.com/v1/tracks/3dPQuX8Gs42Y7b454ybpMR,spotify:track:3dPQuX8Gs42Y7b454ybpMR,Intense Hits
Creep,Radiohead,Pablo Honey,86,0.43,0.104,0.515,0.0097,0.000133,91.844,https://api.spotify.com/v1/tracks/70LcF31zb1H0PyJoS1Sx1r,spotify:track:70LcF31zb1H0PyJoS1Sx1r,Intense Hits
Come As You Are,Nirvana,Nevermind (Remastered),76,0.824,0.539,0.5,0.00016,0.00161,120.125,https://api.spotify.com/v1/tracks/4P5KoWXOxwuobLmHXLMobV,spotify:track:4P5KoWXOxwuobLmHXLMobV,Intense Hits
Californication,Red Hot Chili Peppers,Californication (Deluxe Edition),81,0.767,0.328,0.592,0.0021,0.00165,96.483,https://api.spotify.com/v1/tracks/48UPSzbZjgc449aqz8bxox,spotify:track:48UPSzbZjgc449aqz8bxox,Intense Hits
Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,84,0.952,0.624,0.445,0.09,0.0843,125.304,https://api.spotify.com/v1/tracks/7snQQk1zcKl8gZ92AnueZW,spotify:track:7snQQk1zcKl8gZ92AnueZW,Feel-Good Hits
"Paint It, Black",The Rolling Stones,Aftermath,81,0.795,0.612,0.464,0.0493,0.00244,158.691,https://api.spotify.com/v1/tracks/63T7DJ1AFDD6Bn8VzG6JE8,spotify:track:63T7DJ1AFDD6Bn8VzG6JE8,Intense Hits
Dreams - 2004 Remaster,Fleetwood Mac,Rumours (Super Deluxe),84,0.492,0.789,0.828,0.0644,0.00428,120.151,https://api.spotify.com/v1/tracks/0ofHAoxe9vBkTCp2UQIavz,spotify:track:0ofHAoxe9vBkTCp2UQIavz,Feel-Good Hits
Everlong,Foo Fighters,The Colour And The Shape,81,0.881,0.364,0.413,5.99e-05,0.000308,158.066,https://api.spotify.com/v1/tracks/5UWwZ5lm5PKu6eKsHAGxOk,spotify:track:5UWwZ5lm5PKu6eKsHAGxOk,Intense Hits
I Love Rock 'N Roll,Joan Jett & the Blackhearts,I Love Rock 'N' Roll (Expanded Edition),77,0.716,0.901,0.535,0.326,0.0,94.379,https://api.spotify.com/v1/tracks/2Cdvbe2G4hZsnhNMKyGrie,spotify:track:2Cdvbe2G4hZsnhNMKyGrie,Feel-Good Hits
Dust in the Wind,Kansas,Point Of Know Return (Expanded Edition),79,0.322,0.387,0.475,0.367,0.00056,93.503,https://api.spotify.com/v1/tracks/6zeE5tKyr8Nu882DQhhSQI,spotify:track:6zeE5tKyr8Nu882DQhhSQI,Chill & Acoustic
"Another Brick in the Wall, Pt. 2",Pink Floyd,The Wall,74,0.394,0.721,0.693,0.0782,0.000694,104.114,https://api.spotify.com/v1/tracks/4gMgiXfqyzZLMhsksGmbQV,spotify:track:4gMgiXfqyzZLMhsksGmbQV,Balanced / Versatile Mix
Runaway,Bon Jovi,Bon Jovi,72,0.899,0.603,0.475,0.00375,1.91e-05,152.445,https://api.spotify.com/v1/tracks/0X1sqQ652p1sceKM2nJlIJ,spotify:track:0X1sqQ652p1sceKM2nJlIJ,Intense Hits
Basket Case,Green Day,Dookie,80,0.943,0.781,0.442,0.00293,8.71e-06,85.064,https://api.spotify.com/v1/tracks/6L89mwZXSOwYl76YXfX13s,spotify:track:6L89mwZXSOwYl76YXfX13s,Feel-Good Hits
Under the Bridge,Red Hot Chili Peppers,Blood Sugar Sex Magik (Deluxe Edition),82,0.345,0.458,0.559,0.0576,0.000105,84.581,https://api.spotify.com/v1/tracks/3d9DChrdc6BOeFsbrZ3Is0,spotify:track:3d9DChrdc6BOeFsbrZ3Is0,Balanced / Versatile Mix
White Wedding - Pt. 1,Billy Idol,Billy Idol,70,0.814,0.728,0.673,0.0134,0.00293,147.193,https://api.spotify.com/v1/tracks/1gzIbdFnGJ226LTl0Cn2SX,spotify:track:1gzIbdFnGJ226LTl0Cn2SX,Feel-Good Hits
You Shook Me All Night Long,AC/DC,Back In Black,81,0.767,0.755,0.532,0.00287,0.000513,127.361,https://api.spotify.com/v1/tracks/2SiXAy7TuUkycRVbbWDEpo,spotify:track:2SiXAy7TuUkycRVbbWDEpo,Feel-Good Hits
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,Out Of Our Heads,76,0.863,0.931,0.723,0.0383,0.0317,136.302,https://api.spotify.com/v1/tracks/2PzU4IB8Dr6mxV3lHuaG34,spotify:track:2PzU4IB8Dr6mxV3lHuaG34,Feel-Good Hits
Starman - 2012 Remaster,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars (2012 Remaster),76,0.449,0.549,0.486,0.166,2.23e-06,100.456,https://api.spotify.com/v1/tracks/0pQskrTITgmCMyr85tb9qq,spotify:track:0pQskrTITgmCMyr85tb9qq,Balanced / Versatile Mix
Whole Lotta Love - 1990 Remaster,Led Zeppelin,Led Zeppelin II (1994 Remaster),72,0.902,0.422,0.412,0.0484,0.131,89.74,https://api.spotify.com/v1/tracks/0hCB0YR03f6AmQaHbwWDe8,spotify:track:0hCB0YR03f6AmQaHbwWDe8,Intense Hits
Riders on the Storm,The Doors,L.A. Woman,70,0.722,0.716,0.55,0.25,0.0129,103.886,https://api.spotify.com/v1/tracks/14XWXWv5FoCbFzLksawpEe,spotify:track:14XWXWv5FoCbFzLksawpEe,Feel-Good Hits
Even Flow,Pearl Jam,Ten,77,0.944,0.265,0.394,0.00178,4.54e-06,105.338,https://api.spotify.com/v1/tracks/6QewNVIDKdSl8Y3ycuHIei,spotify:track:6QewNVIDKdSl8Y3ycuHIei,Intense Hits
Born in the U.S.A.,Bruce Springsteen,Born In The U.S.A.,72,0.952,0.584,0.398,0.000373,7.75e-05,122.093,https://api.spotify.com/v1/tracks/0dOg1ySSI7NkpAe89Zo0b9,spotify:track:0dOg1ySSI7NkpAe89Zo0b9,Intense Hits
Bitter Sweet Symphony - Remastered 2016,The Verve,Urban Hymns (Remastered 2016),79,0.917,0.518,0.356,0.0335,0.0,171.176,https://api.spotify.com/v1/tracks/57iDDD9N9tTWe75x6qhStw,spotify:track:57iDDD9N9tTWe75x6qhStw,Intense Hits
Don't Cry (Original),Guns N' Roses,Use Your Illusion I,75,0.589,0.254,0.455,0.00184,0.00358,124.634,https://api.spotify.com/v1/tracks/2N2yrmodOnVF10mKvItC9P,spotify:track:2N2yrmodOnVF10mKvItC9P,Intense Hits
All Along the Watchtower,Jimi Hendrix,Electric Ladyland,72,0.805,0.564,0.438,0.00255,5.69e-05,113.253,https://api.spotify.com/v1/tracks/2aoo2jlRnM3A0NyLQqMN2f,spotify:track:2aoo2jlRnM3A0NyLQqMN2f,Intense Hits
In The Air Tonight - 2015 Remastered,Phil Collins,Face Value (Deluxe Editon),76,0.239,0.298,0.446,0.551,4.1e-06,189.507,https://api.spotify.com/v1/tracks/18AXbzPzBS8Y3AkgSxzJPb,spotify:track:18AXbzPzBS8Y3AkgSxzJPb,Chill & Acoustic
Psycho Killer - 2005 Remaster,Talking Heads,Talking Heads '77 (Deluxe Version),76,0.521,0.942,0.721,0.0708,0.00545,123.118,https://api.spotify.com/v1/tracks/1i6N76fftMZhijOzFQ5ZtL,spotify:track:1i6N76fftMZhijOzFQ5ZtL,Feel-Good Hits
Are You Gonna Go My Way,Lenny Kravitz,Are You Gonna Go My Way,71,0.67,0.777,0.619,0.00165,0.0109,129.269,https://api.spotify.com/v1/tracks/45Ia1U4KtIjAPPU7Wv1Sea,spotify:track:45Ia1U4KtIjAPPU7Wv1Sea,Feel-Good Hits
Master of Puppets (Remastered),Metallica,Master of Puppets (Remastered Deluxe Box Set),70,0.828,0.562,0.539,0.00067,0.421,105.25,https://api.spotify.com/v1/tracks/54bm2e3tk8cliUz3VSdCPZ,spotify:track:54bm2e3tk8cliUz3VSdCPZ,Intense Hits
Everywhere - 2017 Remaster,Fleetwood Mac,Tango In the Night (Deluxe Edition),79,0.487,0.731,0.73,0.258,0.01,114.965,https://api.spotify.com/v1/tracks/254bXAqt3zP6P50BdQvEsq,spotify:track:254bXAqt3zP6P50BdQvEsq,Balanced / Versatile Mix
Have You Ever Seen The Rain,Creedence Clearwater Revival,Pendulum (Expanded Edition),84,0.697,0.774,0.741,0.0664,2.28e-05,116.109,https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU,spotify:track:2LawezPeJhN4AWuSB0GtAU,Feel-Good Hits
Just What I Needed,The Cars,The Cars,69,0.579,0.691,0.62,0.0152,6.4e-05,127.215,https://api.spotify.com/v1/tracks/4alHo6RGd0D3OUbTPExTHN,spotify:track:4alHo6RGd0D3OUbTPExTHN,Feel-Good Hits
Smells Like Teen Spirit,Nirvana,Nevermind (Remastered),76,0.912,0.72,0.502,2.55e-05,0.000173,116.761,https://api.spotify.com/v1/tracks/5ghIJDpPoe3CfHMGu71E6T,spotify:track:5ghIJDpPoe3CfHMGu71E6T,Feel-Good Hits
Killing In The Name,Rage Against The Machine,Rage Against The Machine - XX (20th Anniversary Special Edition),78,0.833,0.661,0.466,0.0266,0.0,88.785,https://api.spotify.com/v1/tracks/59WN2psjkt1tyaxjspN8fp,spotify:track:59WN2psjkt1tyaxjspN8fp,Feel-Good Hits
Come Together - Remastered 2009,The Beatles,Abbey Road (Remastered),75,0.376,0.188,0.53,0.0304,0.247,164.775,https://api.spotify.com/v1/tracks/2EqlS6tkEnglzr7tkKAAYD,spotify:track:2EqlS6tkEnglzr7tkKAAYD,Intense Hits
Carry on Wayward Son,Kansas,Leftoverture (Expanded Edition),73,0.786,0.793,0.482,0.00321,8.88e-05,126.755,https://api.spotify.com/v1/tracks/4DMKwE2E2iYDKY01C335Uw,spotify:track:4DMKwE2E2iYDKY01C335Uw,Feel-Good Hits
Song 2 - 2012 Remaster,Blur,Blur (Special Edition),78,0.789,0.918,0.674,0.00178,0.00708,129.802,https://api.spotify.com/v1/tracks/1FTSo4v6BOZH9QxKc3MbVM,spotify:track:1FTSo4v6BOZH9QxKc3MbVM,Feel-Good Hits
Where Is My Mind? - 2007 Remaster,Pixies,Surfer Rosa (2007 Remaster),76,0.441,0.25,0.519,0.0204,0.000453,81.334,https://api.spotify.com/v1/tracks/7wCmS9TTVUcIhRalDYFgPy,spotify:track:7wCmS9TTVUcIhRalDYFgPy,Intense Hits
Should I Stay or Should I Go - Remastered,The Clash,Combat Rock (Remastered),80,0.836,0.82,0.743,0.0804,0.0,113.375,https://api.spotify.com/v1/tracks/39shmbIHICJ2Wxnk1fPSdz,spotify:track:39shmbIHICJ2Wxnk1fPSdz,Feel-Good Hits
Another One Bites The Dust - Remastered 2011,Queen,The Game (Deluxe Remastered Version),71,0.528,0.757,0.932,0.115,0.329,109.975,https://api.spotify.com/v1/tracks/57JVGBtBLCfHw2muk5416J,spotify:track:57JVGBtBLCfHw2muk5416J,Balanced / Versatile Mix
Uprising,Muse,The Resistance,75,0.905,0.411,0.602,0.000202,0.064,128.019,https://api.spotify.com/v1/tracks/4VqPOruhp5EdPBeR92t6lQ,spotify:track:4VqPOruhp5EdPBeR92t6lQ,Intense Hits
For What It's Worth,Buffalo Springfield,Buffalo Springfield,76,0.519,0.822,0.653,0.406,0.0209,98.883,https://api.spotify.com/v1/tracks/1qRA5BS78u3gME0loMl9AA,spotify:track:1qRA5BS78u3gME0loMl9AA,Balanced / Versatile Mix
You Really Got Me - 2015 Remaster,Van Halen,Van Halen (Remastered),68,0.946,0.647,0.454,0.0223,0.0,138.18,https://api.spotify.com/v1/tracks/0upLyFR8Rr52ZpMp5esQoq,spotify:track:0upLyFR8Rr52ZpMp5esQoq,Feel-Good Hits
Black Hole Sun,Soundgarden,Superunknown (Deluxe Edition),76,0.828,0.147,0.35,0.000217,0.000161,105.435,https://api.spotify.com/v1/tracks/2EoOZnxNgtmZaD8uUmz2nD,spotify:track:2EoOZnxNgtmZaD8uUmz2nD,Intense Hits
Black Magic Woman - Single Version,Santana,Santana's Greatest Hits,70,0.349,0.622,0.489,0.676,0.0789,124.348,https://api.spotify.com/v1/tracks/4YMQXzscifAREG0a7KNGhB,spotify:track:4YMQXzscifAREG0a7KNGhB,Chill & Acoustic
Fly Away,Lenny Kravitz,5,73,0.872,0.735,0.587,0.018,0.0,159.925,https://api.spotify.com/v1/tracks/1OxcIUqVmVYxT6427tbhDW,spotify:track:1OxcIUqVmVYxT6427tbhDW,Feel-Good Hits
Message In A Bottle,The Police,Reggatta De Blanc (Remastered 2003),75,0.808,0.869,0.577,0.0338,1.33e-05,151.008,https://api.spotify.com/v1/tracks/1oYYd2gnWZYrt89EBXdFiO,spotify:track:1oYYd2gnWZYrt89EBXdFiO,Feel-Good Hits
Heroes - 2017 Remaster,David Bowie,"""Heroes"" (2017 Remaster)",72,0.758,0.435,0.489,0.000678,0.49,112.113,https://api.spotify.com/v1/tracks/7Jh1bpe76CNTCgdgAdBw4Z,spotify:track:7Jh1bpe76CNTCgdgAdBw4Z,Intense Hits
Immigrant Song - Remaster,Led Zeppelin,Led Zeppelin III (Remaster),75,0.932,0.619,0.564,0.013,0.169,112.937,https://api.spotify.com/v1/tracks/78lgmZwycJ3nzsdgmPPGNx,spotify:track:78lgmZwycJ3nzsdgmPPGNx,Feel-Good Hits
Mr. Blue Sky,Electric Light Orchestra,Out of the Blue,76,0.338,0.478,0.388,0.652,3.73e-06,177.765,https://api.spotify.com/v1/tracks/2RlgNHKcydI9sayD2Df2xp,spotify:track:2RlgNHKcydI9sayD2Df2xp,Chill & Acoustic
Back In Black,AC/DC,Back In Black,83,0.7,0.763,0.31,0.011,0.00965,188.386,https://api.spotify.com/v1/tracks/08mG3Y1vljYA6bvDt4Wqkj,spotify:track:08mG3Y1vljYA6bvDt4Wqkj,Feel-Good Hits
Barracuda,Heart,Little Queen,74,0.691,0.667,0.548,0.015,0.106,137.145,https://api.spotify.com/v1/tracks/4KfSdst7rW39C0sfhArdrz,spotify:track:4KfSdst7rW39C0sfhArdrz,Feel-Good Hits
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,Honky Chateau,79,0.532,0.342,0.601,0.433,5.95e-06,136.576,https://api.spotify.com/v1/tracks/3gdewACMIVMEWVbyb8O9sY,spotify:track:3gdewACMIVMEWVbyb8O9sY,Chill & Acoustic
Heart-Shaped Box,Nirvana,In Utero (Deluxe Edition),79,0.641,0.382,0.256,0.199,0.0329,203.006,https://api.spotify.com/v1/tracks/11LmqTE2naFULdEP94AUBa,spotify:track:11LmqTE2naFULdEP94AUBa,Intense Hits
