track_name,track_artist,track_album_name,track_popularity,energy,valence,danceability,acousticness,instrumentalness,tempo,track_href,uri,cluster_label
Sifar Safar,Karan Aujla,Sifar Safar,70,0.798,0.48,0.509,0.00625,0.0,86.638,https://api.spotify.com/v1/tracks/3lQPwCmD918SyoiIkw1zqx,spotify:track:3lQPwCmD918SyoiIkw1zqx,Intense Hits
Knife Brows,Dhanda Nyoliwala,DNW Vol. 1,68,0.606,0.38,0.656,0.335,0.0,175.917,https://api.spotify.com/v1/tracks/5nIrIdLPPXeRMl8WXnnDv1,spotify:track:5nIrIdLPPXeRMl8WXnnDv1,Intense Hits
Baller,"Shubh, Ikky",Baller,68,0.702,0.674,0.711,0.00487,0.0163,180.219,https://api.spotify.com/v1/tracks/42TMa2hgBNjte4uV7jNCnQ,spotify:track:42TMa2hgBNjte4uV7jNCnQ,Feel-Good Hits
Winning Speech,"Karan Aujla, Mxrci",Winning Speech,75,0.78,0.448,0.461,0.128,0.0,171.285,https://api.spotify.com/v1/tracks/3FqtduiaqnFYvBgKuc6QWQ,spotify:track:3FqtduiaqnFYvBgKuc6QWQ,Intense Hits
Still Rollin,Shubh,Still Rollin,71,0.431,0.246,0.881,0.182,0.0018,94.0,https://api.spotify.com/v1/tracks/6oz1L5jcqZWYuId7nxvIan,spotify:track:6oz1L5jcqZWYuId7nxvIan,Balanced / Versatile Mix
9:45,"Prabh Singh, Jay Trak, Rooh Sandhu",9:45,73,0.455,0.352,0.796,0.637,3.59e-06,99.958,https://api.spotify.com/v1/tracks/6c4Po8zyQjB4cR5XgLhcGb,spotify:track:6c4Po8zyQjB4cR5XgLhcGb,Chill & Acoustic
Dior,Shubh,Still Rollin,69,0.362,0.633,0.967,0.514,0.00637,115.974,https://api.spotify.com/v1/tracks/53QrRlALFJfZgdcGLKwy5s,spotify:track:53QrRlALFJfZgdcGLKwy5s,Balanced / Versatile Mix
Cheques,Shubh,Still Rollin,75,0.627,0.356,0.742,0.262,1.23e-05,89.998,https://api.spotify.com/v1/tracks/4eBvRhTJ2AcxCsbfTUjoRp,spotify:track:4eBvRhTJ2AcxCsbfTUjoRp,Balanced / Versatile Mix
MVP,Shubh,MVP,70,0.572,0.644,0.742,0.391,0.00428,88.041,https://api.spotify.com/v1/tracks/5BQePe9rcCJozHK3oPayYk,spotify:track:5BQePe9rcCJozHK3oPayYk,Balanced / Versatile Mix
8 ASLE,"Sukha, Chani Nattan, Prodgk, Gurlez Akhtar",UNDISPUTED,68,0.684,0.483,0.769,0.0977,0.0,100.042,https://api.spotify.com/v1/tracks/6wkHR8cU4INbp145hngbQO,spotify:track:6wkHR8cU4INbp145hngbQO,Balanced / Versatile Mix
King Shit,Shubh,Leo,72,0.566,0.68,0.794,0.301,0.000168,85.953,https://api.spotify.com/v1/tracks/1BpvuKIG7jK5EiTp2tv5z8,spotify:track:1BpvuKIG7jK5EiTp2tv5z8,Balanced / Versatile Mix
One Love,Shubh,One Love,75,0.512,0.881,0.848,0.284,0.00645,144.926,https://api.spotify.com/v1/tracks/5ZLkihi6DVsHwDL3B8ym1t,spotify:track:5ZLkihi6DVsHwDL3B8ym1t,Feel-Good Hits
On Top,Karan Aujla,On Top,70,0.75,0.662,0.831,0.0188,0.0,139.979,https://api.spotify.com/v1/tracks/4SJMuaIYcBS8ke96lDYOsw,spotify:track:4SJMuaIYcBS8ke96lDYOsw,Feel-Good Hits
Old Money,AP Dhillon,Old Money,71,0.733,0.183,0.864,0.144,0.000175,92.969,https://api.spotify.com/v1/tracks/4WLDaQ8AgSwUgFoPzJkAYK,spotify:track:4WLDaQ8AgSwUgFoPzJkAYK,Intense Hits
Tu hai kahan,AUR,Tu hai kahan,75,0.356,0.569,0.708,0.437,6.54e-05,83.679,https://api.spotify.com/v1/tracks/3zSSCPpLZ5Oc8nelhhGjKz,spotify:track:3zSSCPpLZ5Oc8nelhhGjKz,Balanced / Versatile Mix
Bandana,Shubh,Bandana,73,0.718,0.91,0.716,0.0452,0.0,89.906,https://api.spotify.com/v1/tracks/7KQdgW7QzNd9oPoCzjCU76,spotify:track:7KQdgW7QzNd9oPoCzjCU76,Feel-Good Hits
